Part/Designator,Manufacture Part Number/Seeed SKU,Quantity
C4,0805B472K500NT,1
"C2,C3,C7,C8",0805CG220J500NT,4
D8,1N4001F,1
D10,1N5819W,1
"R7,R8",301010306,2
R5,301010311,1
R6,301010328,1
R2,301010351,1
"R1,R3,R4",301010361,3
"D1,D6,D7",B5818WS,3
"D3,D5",BAT42W,2
D4,"BZV55-C12,115",1
"C1,C5,C6,C9,C10,C12",CC0805KRX7R9BB104,6
U4,LM2594HVM-5.0,1
U1,MCP2515T-I/SO,1
U2,MCP2562FDT-E/SN,1
C14,OVZ121M1ATR-0606,1
C11,RVT1A220M0405,1
C13,RVT1V101M0607,1
D9,SMBJ15CA,1
D2,SMBJ5.0CA,1
L1,SWPA4030S101MT,1
