NEODEN,YY1,P&P FILE,,,,,,,,,,,
,,,,,,,,,,,,,
PanelizedPCB,UnitLength,0,UnitWidth,0,Rows,1,Columns,1,
,,,,,,,,,,,,,
Fiducial,1-X,0,1-Y,0,OverallOffsetX,0.00,OverallOffsetY,0.00,
,,,,,,,,,,,,,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station2,PickUp,Station1,
NozzleChange,OFF,BeforeComponent,2,Head2,Drop,Station3,PickUp,Station2,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,
,,,,,,,,,,,,,
Designator,Comment,Footprint,Mid X(mm),Mid Y(mm),Rotation,Head,FeederNo,Mount Speed(%),Pick Height(mm),Place Height(mm),Mode,Skip
C1,100n,C_0805,27.54,25.35,0.00,0,1,100,0,0,1,1
C2,100n,C_0805,20.25,35.14,90.00,0,1,100,0,0,1,1
C3,100n,C_0805,49.50,44.64,90.00,0,1,100,0,0,1,1
C4,22u,CP,4.55,38.89,0.00,0,1,100,0,0,1,1
C5,100n,C_0805,8.50,34.81,90.00,0,1,100,0,0,1,1
C6,22p,C_0805,50.46,34.85,0.00,0,1,100,0,0,1,1
C7,22u,CP,4.20,28.89,0.00,0,1,100,0,0,1,1
C8,100n,C_0805,33.00,42.81,90.00,0,1,100,0,0,1,1
C9,22u,CP,4.20,23.60,0.00,0,1,100,0,0,1,1
C10,22p,C_0805,50.46,26.10,180.00,0,1,100,0,0,1,1
C11,100n,C_0805,32.79,24.85,0.00,0,1,100,0,0,1,1
C12,100n,C_0805,18.75,43.08,90.00,0,1,100,0,0,1,1
C13,1u,C_1206,25.00,42.41,90.00,0,1,100,0,0,1,1
C14,100n,C_0805,48.00,40.06,90.00,0,1,100,0,0,1,1
C15,100n,C_0805,48.54,19.10,0.00,0,1,100,0,0,1,1
D1,1N4148W,D,49.50,49.45,270.00,0,1,100,0,0,1,1
D2,1N4148W,D,9.50,29.10,270.00,0,1,100,0,0,1,1
D3,1N4148W,D,10.50,42.25,90.00,0,1,100,0,0,1,1
D4,BZV55-C12,D,16.25,42.35,90.00,0,1,100,0,0,1,1
D5,SP0502BAHT,SOT-23,30.25,30.35,270.00,0,1,100,0,0,1,1
D6,SMBJ5.0CA,D,41.79,20.30,180.00,0,1,100,0,0,1,1
F1,Polyfuse,Fuse,4.76,43.49,0.00,0,1,100,0,0,1,1
L1,4.7uH,L_1206,10.75,34.66,90.00,0,1,100,0,0,1,1
R1,22k 1%,R_0805,13.75,43.10,90.00,0,1,100,0,0,1,1
R2,10k,R_0805,31.00,42.85,270.00,0,1,100,0,0,1,1
R3,4.7k,R_0805,21.25,43.10,90.00,0,1,100,0,0,1,1
R4,1k,R_0805,29.00,42.85,270.00,0,1,100,0,0,1,1
R5,4.7k,R_0805,32.75,22.85,0.00,0,1,100,0,0,1,1
R6,10k,R_0805,32.75,26.85,0.00,0,1,100,0,0,1,1
R7,120,R_0805,55.50,29.10,90.00,0,1,100,0,0,1,1
U1,ATmega4808-A,TQFP-32,19.75,27.35,0.00,0,1,100,0,0,1,1
U2,AP63203WU,TSOT-23-6,4.25,33.69,0.00,0,1,100,0,0,1,1
U3,MCP2515-xSO,SOIC-18W,42.00,29.12,180.00,0,1,100,0,0,1,1
U4,MCP2562-E-SN,SOIC-8,53.47,19.82,270.00,0,1,100,0,0,1,1
U5,CAM-M8C-0,CAM-M8C-0,41.50,44.85,0.00,0,1,100,0,0,1,1
X1,ANTENNA_U.FL,U.FL,33.02,49.85,0.00,0,1,100,0,0,1,1
Y1,16MHz,CRYSTAL_EuroQuartz,50.40,30.45,270.00,0,1,100,0,0,1,1
