Designator,Comment,Footprint,Mid X,Mid Y,Rotation,Head,FeederNo,Mount Speed (%),Pick Height(mm),Place Height(mm),Mode,Skip
C1,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,32.787500,17.250000,0.000000,00,0,100,0,0,1,0
C2,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,27.537500,17.750000,0.000000,00,0,100,0,0,1,0
C3,22u,CP_Elec_4x3.9,4.550000,31.000000,0.000000,00,0,100,0,0,1,0
C4,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,8.500000,27.212500,90.000000,00,0,100,0,0,1,0
C5,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,48.537500,11.500000,0.000000,00,0,100,0,0,1,0
C6,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,20.250000,27.537500,90.000000,00,0,100,0,0,1,0
C7,22p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,50.462500,27.250000,0.000000,00,0,100,0,0,1,0
C8,22p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,50.462500,18.500000,180.000000,00,0,100,0,0,1,0
C9,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,33.000000,35.212500,90.000000,00,0,100,0,0,1,0
C10,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,18.750000,35.475000,90.000000,00,0,100,0,0,1,0
C11,1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,25.000000,34.812500,90.000000,00,0,100,0,0,1,0
C12,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,49.500000,37.037500,90.000000,00,0,100,0,0,1,0
C13,22u,CP_Elec_4x3.9,4.200000,21.750000,0.000000,00,0,100,0,0,1,0
C14,22u,CP_Elec_4x3.9,4.200000,16.000000,0.000000,00,0,100,0,0,1,0
C15,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,48.000000,32.462500,90.000000,00,0,100,0,0,1,0
D1,1N4148W,SOD_123,49.500000,41.850000,-90.000000,00,0,100,0,0,1,0
D2,SMBJ5.0CA,D_SMB,41.792000,12.700000,180.000000,00,0,100,0,0,1,0
D3,SP0502BAHT,SOT_23,30.250000,22.750000,-90.000000,00,0,100,0,0,1,0
D4,BZV55-C12,D_MiniMELF,16.250000,34.750000,90.000000,00,0,100,0,0,1,0
D5,1N4148W,SOD_123,9.500000,21.500000,-90.000000,00,0,100,0,0,1,0
D6,1N4148W,SOD_123,10.500000,34.650000,90.000000,00,0,100,0,0,1,0
F1,Polyfuse,Fuse_1210_3225Metric_Pad1.42x2.65mm_HandSolder,4.762500,35.750000,0.000000,00,0,100,0,0,1,0
FID1,Fiducial,Fiducial_0.5mm_Mask1mm,30.500000,29.250000,180.000000,00,0,100,0,0,1,0
FID2,Fiducial,Fiducial_0.5mm_Mask1mm,1.750000,13.000000,0.000000,00,0,100,0,0,1,0
FID3,Fiducial,Fiducial_0.5mm_Mask1mm,55.000000,26.000000,0.000000,00,0,100,0,0,1,0
J3,Conn_01x04_MountingPin,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,22.610000,7.890000,180.000000,00,0,100,0,0,1,0
J9,Conn_01x10_MountingPin,JST_SH_BM10B-SRSS-TB_1x10-1MP_P1.00mm_Vertical,11.410000,7.890000,180.000000,00,0,100,0,0,1,0
L1,4.7uH,1206D,10.750000,27.062500,90.000000,00,0,100,0,0,1,0
R2,120,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,55.500000,21.500000,90.000000,00,0,100,0,0,1,0
R3,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,32.750000,19.250000,0.000000,00,0,100,0,0,1,0
R4,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,31.000000,35.250000,-90.000000,00,0,100,0,0,1,0
R5,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,29.000000,35.250000,-90.000000,00,0,100,0,0,1,0
R6,15k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,13.750000,35.500000,90.000000,00,0,100,0,0,1,0
R7,"4,7k",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,21.250000,35.500000,90.000000,00,0,100,0,0,1,0
R8,"4,7k",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,32.750000,15.250000,0.000000,00,0,100,0,0,1,0
U1,ATmega4808-A,TQFP-32_7x7mm_P0.8mm,19.750000,19.750000,0.000000,00,0,100,0,0,1,0
U2,MCP2562-E-SN,SOIC-8_3.9x4.9mm_P1.27mm,53.467000,12.225000,-90.000000,00,0,100,0,0,1,0
U3,MCP2515-xSO,SOIC-18W_7.5x11.6mm_P1.27mm,42.000000,21.520000,180.000000,00,0,100,0,0,1,0
U4,AP63203WU,TSOT-23-6,4.250000,26.500000,0.000000,00,0,100,0,0,1,0
X1,ANTENNA_U.FL,U.FL_Molex_MCRF_73412-0110_Vertical,33.025000,42.250000,0.000000,00,0,100,0,0,1,0
Y2,16MHz,Crystal_SMD_EuroQuartz_MJ-4Pin_5.0x3.2mm,50.400000,22.850000,-90.000000,00,0,100,0,0,1,0
