NEODEN,YY1,P&P FILE,,,,,,,,,,,
,,,,,,,,,,,,,
PanelizedPCB,UnitLength,0,UnitWidth,0,Rows,1,Columns,1,
,,,,,,,,,,,,,
Fiducial,1-X,0,1-Y,0,OverallOffsetX,0.00,OverallOffsetY,0.00,
,,,,,,,,,,,,,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station2,PickUp,Station1,
NozzleChange,OFF,BeforeComponent,2,Head2,Drop,Station3,PickUp,Station2,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,
,,,,,,,,,,,,,
Designator,Comment,Footprint,Mid X(mm),Mid Y(mm),Rotation,Head,FeederNo,Mount Speed(%),Pick Height(mm),Place Height(mm),Mode,Skip
C1,100n,C_0805,32.79,24.85,0.00,0,1,100,0,0,1,0
C2,100n,C_0805,27.54,25.35,0.00,0,1,100,0,0,1,0
C3,22u,CP,4.55,38.60,0.00,0,1,100,0,0,1,0
C4,100n,C_0805,8.50,34.81,90.00,0,1,100,0,0,1,0
C5,100n,C_0805,48.54,19.10,0.00,0,1,100,0,0,1,0
C6,100n,C_0805,20.25,35.14,90.00,0,1,100,0,0,1,0
C7,22p,C_0805,50.46,34.85,0.00,0,1,100,0,0,1,0
C8,22p,C_0805,50.46,26.10,180.00,0,1,100,0,0,1,0
C9,100n,C_0805,33.00,42.81,90.00,0,1,100,0,0,1,0
C10,100n,C_0805,18.75,43.08,90.00,0,1,100,0,0,1,0
C11,1u,C_1206,25.00,42.41,90.00,0,1,100,0,0,1,0
C12,100n,C_0805,49.50,44.64,90.00,0,1,100,0,0,1,0
C13,22u,CP,4.20,29.35,0.00,0,1,100,0,0,1,0
C14,22u,CP,4.20,23.60,0.00,0,1,100,0,0,1,0
C15,100n,C_0805,48.00,40.06,90.00,0,1,100,0,0,1,0
D1,1N4148W,D,49.50,49.45,270.00,0,1,100,0,0,1,0
D2,SMBJ5.0CA,D,41.79,20.30,180.00,0,1,100,0,0,1,0
D3,SP0502BAHT,SOT-23,30.25,30.35,270.00,0,1,100,0,0,1,0
D4,BZV55-C12,D,16.25,42.35,90.00,0,1,100,0,0,1,0
D5,1N4148W,D,9.50,29.10,270.00,0,1,100,0,0,1,0
D6,1N4148W,D,10.50,42.25,90.00,0,1,100,0,0,1,0
F1,Polyfuse,Fuse,4.76,43.35,0.00,0,1,100,0,0,1,0
FID1,Fiducial,Fiducial,30.50,36.85,180.00,0,1,100,0,0,1,0
FID2,Fiducial,Fiducial,1.75,20.60,0.00,0,1,100,0,0,1,0
FID3,Fiducial,Fiducial,55.00,33.60,0.00,0,1,100,0,0,1,0
J1,CAN,Molex,46.00,10.85,180.00,0,1,100,0,0,1,0
J2,KEY,JST,25.00,49.26,0.00,0,1,100,0,0,1,0
J3,LCD,JST,22.61,15.49,180.00,0,1,100,0,0,1,0
J4,PWR,JST,11.50,49.26,0.00,0,1,100,0,0,1,0
J5,Conn_01x03,PinHeader,2.31,16.27,0.00,0,1,100,0,0,1,0
J6,PROG/SERIAL,JST,54.50,48.85,270.00,0,1,100,0,0,1,0
J8,Conn_01x03,Molex,33.25,11.60,90.00,0,1,100,0,0,1,0
J9,Conn_01x10_MountingPin,JST,11.41,15.49,180.00,0,1,100,0,0,1,0
L1,4.7uH,L_1206,10.75,34.66,90.00,0,1,100,0,0,1,0
R2,120,R_0805,55.50,29.10,90.00,0,1,100,0,0,1,0
R3,10k,R_0805,32.75,26.85,0.00,0,1,100,0,0,1,0
R4,10k,R_0805,31.00,42.85,270.00,0,1,100,0,0,1,0
R5,1k,R_0805,29.00,42.85,270.00,0,1,100,0,0,1,0
R6,22k,R_0805,13.75,43.10,90.00,0,1,100,0,0,1,0
R7,4.7k,R_0805,21.25,43.10,90.00,0,1,100,0,0,1,0
R8,4.7k,R_0805,32.75,22.85,0.00,0,1,100,0,0,1,0
U1,ATmega4808-A,TQFP-32,19.75,27.35,0.00,0,1,100,0,0,1,0
U2,MCP2562-E-SN,SOIC-8,53.47,19.82,270.00,0,1,100,0,0,1,0
U3,MCP2515-xSO,SOIC-18W,42.00,29.12,180.00,0,1,100,0,0,1,0
U4,AP63203WU,TSOT-23-6,4.25,34.10,0.00,0,1,100,0,0,1,0
U5,CAM-M8C-0,CAM-M8C-0,41.50,44.85,0.00,0,1,100,0,0,1,0
X1,ANTENNA_U.FL,U.FL,33.02,49.85,0.00,0,1,100,0,0,1,0
Y2,16MHz,CRYSTAL_EuroQuartz,50.40,30.45,270.00,0,1,100,0,0,1,0
